Comuna,Propiedad,Precio,Direccion,Tamaño en m2,Dormitorios,Baños,ID
Talcahuano,Casa,125000000,"Se Vende Casa En Talcahuano, Talcahuano, Biobío",260,3,1,122
Talcahuano,Casa,170000000,"Jaime Repullo, Talcahuano, Chile, Carriel, Talcahuano, Biobío",140,3,3,123
Talcahuano,Casa,165000000,"Pasaje 1 3600, Talcahuano, Chile, Talcahuano, Biobío",217,7,2,124
Talcahuano,Casa,240086469,"Cerro David Fuentes, Carriel, Talcahuano, Biobío",450,3,2,125
Talcahuano,Casa,139000000,"A 4 Cuadras De Av. Colón, Carriel, Talcahuano, Biobío",120,4,2,126
Talcahuano,Casa,160000000,"Calle Dos Sn, Brisas del Sol, Talcahuano, Biobío",161,4,3,127
Talcahuano,Casa,90494131,"Pasaje 23 Casa 4391 San Marcos 2000 Talcahuano, Carriel, Talcahuano, Biobío",98,2,1,128
Talcahuano,Casa,140000000,"Sector Cruz Del Sur A 5 Cuadras Del Puente Perales, Carriel, Talcahuano, Biobío",300,3,2,130
Talcahuano,Casa,79000000,"Vendo Estupenda Casa En Talcahuano, Carriel, Talcahuano, Biobío",106,3,1,131
Talcahuano,Casa,148000000,"Las Salinas, Carriel, Talcahuano, Biobío",140,3,2,132
Talcahuano,Casa,204989999,"Brisa Del Sol, Carriel, Talcahuano, Biobío",175,4,3,133
Talcahuano,Casa,185000000,"Condominio Alerce, Brisas del Sol, Talcahuano, Biobío",150,3,3,134
Talcahuano,Casa,170000000,"Alemparte 385 Talcahuano, SANTA LEONOR, Talcahuano, Biobío",360,5,2,135
Talcahuano,Casa,100000000,"Rep Dominicana, Leonor Moscayo, Talcahuano, Biobío",100,6,2,136
Talcahuano,Casa,240000000,"Bazco Nuñez De Balboa Brisa Del Sol, Brisas del Sol, Talcahuano, Biobío",114,4,3,137
Talcahuano,Casa,79000000,"Sector Villa Mar, Salinas, Talcahuano, Carriel, Talcahuano, Biobío",106,3,1,138
Talcahuano,Casa,192069176,"Jaime Repullo, Talcahuano, Chile, Carriel, Talcahuano, Biobío",200,4,3,139
Talcahuano,Casa,190000000,"Autop. Concepción - Talcahuano 7001, Talcahuano, Bío Bío, Chile, Brisas del Sol, Talcahuano, Biobío",180,4,3,141
Talcahuano,Casa,203150090,"Higueras, Talcahuano, Chile, Carriel, Talcahuano, Biobío",280,3,2,142
Talcahuano,Casa,200000000,"Carriel, Talcahuano, Biobío",443,3,2,143
Talcahuano,Casa,180988262,"Pje. Veinticinco 439, 4300942 Talcahuano, Bío Bío, Chile, Brisas del Sol, Talcahuano, Biobío",150,3,2,144
Talcahuano,Casa,85000000,"Talcahuano, Chile, Carriel, Talcahuano, Biobío",60,3,1,145
Talcahuano,Casa,103421864,"Pasaje 44, Talcahuano, Chile, Carriel, Talcahuano, Biobío",122,3,2,146
Talcahuano,Casa,192069176,"Pje. Veinticinco 439, 4300942 Talcahuano, Bío Bío, Chile, Brisas del Sol, Talcahuano, Biobío",150,3,3,147
Talcahuano,Casa,240086469,"Parques De Carriel 5579, Concepción, Talcahuano, Chile, Talcahuano, Biobío",205,3,3,148
Talcahuano,Casa,151439158,"Jaime Repullo 2700 - 3000, Talcahuano, Chile, Carriel, Talcahuano, Biobío",91,4,2,149
Talcahuano,Casa,206843728,"Brisas Del Sol, 1 - 300, Brisas del Sol, Talcahuano, Biobío",199,3,2,150
Talcahuano,Casa,76000000,"Alto Horno, Talcahuano, Biobío",85,3,1,151
Talcahuano,Casa,155132796,"Jaime Repullo, Talcahuano, Carriel, Talcahuano, Biobío",100,4,3,152
Talcahuano,Casa,262248297,"Sector Brisas Del Sol, Talcahuano, Brisas del Sol, Talcahuano, Biobío",220,4,3,153
Talcahuano,Casa,170000000,"Santa Leonor, Talcahuano, Biobío",900,4,1,154
Talcahuano,Casa,225865963,"Cerro Buena Vista, San Vicente-Tumbes, Talcahuano, Biobío",300,3,2,155
Talcahuano,Casa,269635574,"Parques De Carriel 9279, Concepción, Talcahuano, Chile, Talcahuano, Biobío",200,3,3,156
Talcahuano,Casa,98000000,"Laguna Pineda, Talcahuano, Chile, Talcahuano, Biobío",90,2,1,157
Talcahuano,Casa,97881407,"Laguna Pineda, Talcahuano, Chile, Talcahuano, Biobío",190,2,1,158
Talcahuano,Casa,250000000,"Colón, Carriel, Talcahuano, Biobío",270,5,2,159
Talcahuano,Casa,105268682,"Pasaje 4, Talcahuano, Chile, Talcahuano, Biobío",105,4,2,160
Talcahuano,Casa,251167383,"Concepción, Talcahuano, Biobío",236,3,3,161
Talcahuano,Casa,127799874,"Raulí 313, Talcahuano, Chile, Talcahuano, Biobío",203,3,2,162
Talcahuano,Casa,130000000,"Gabriel Toro 198, Talcahuano, Chile, Carriel, Talcahuano, Biobío",400,7,2,163
Talcahuano,Casa,114502777,"Calle 5 4258, Talcahuano, Chile, Carriel, Talcahuano, Biobío",84,3,2,164
